((16.695999571453935, -0.92787346122700254), 1)
((15.850388825759982, 0.47211252902514111), -1)
((10.622623441731935, -0.31499449528815537), -1)
((7.0784268427453174, -0.17699681107630116), 1)
((19.069159584397536, -0.027484910013680031), 1)
((15.991549733559815, 0.23823004013080151), -1)
((4.8615293559045814, 0.057468964112846743), -1)
((14.934748753321383, 0.076892110240574185), 1)
((4.888686399955084, 0.1430260760559372), -1)
((0.85702943648359398, 0.15123320778307159), 1)
((10.124866276079473, 0.85197942671311888), -1)
((4.8958991656835487, 0.69585576409453753), -1)
((4.8391930923249742, -0.28690936737134098), -1)
((5.3995102888136941, 0.72744167839658624), -1)
((9.40391434298669, 0.35725004144808126), -1)
((12.909034200628621, -0.4232915510035673), 1)
((0.87017159126183463, 0.75163187899954842), 1)
((6.9562049949800713, -0.90973561718081219), 1)
((7.1717649919440785, -0.28842490811701826), 1)
((17.615529564829849, -0.18592723684801538), -1)
((7.132240565453019, 0.13114464704213868), 1)
((6.9830817325630479, -0.38151006148972355), 1)
((8.4294369469384236, 0.13814115702916974), 1)
((0.75557290592005, 0.28604087736928352), 1)
((0.83922292474758242, 0.58015703686809039), 1)
((0.70135832302924195, 0.50818652333324454), 1)
((13.573423185282881, 0.96611173973180287), -1)
((7.672704708982014, -0.74103813009467223), 1)
((18.945112446592461, -0.89165104626659741), 1)
((10.455526984693195, 0.96700036169426595), -1)
((9.7212729427924529, -0.35321827008440287), 1)
((10.545228385763641, 0.027840325333361893), -1)
((11.948858391362833, 0.050800412258009686), -1)
((4.9657521885585005, 0.18300050771400911), -1)
((16.26401493653054, 0.30667600691224917), -1)
((17.9245310070866, 0.94639881861859765), -1)
((5.9247269215840763, 0.31364953306796961), -1)
((10.345035469877903, -0.47195264308674556), -1)
((6.8556689494737011, -0.9997647068865394), 1)
((8.3550190383955414, 0.99922894229815107), -1)
((3.2101466401133827, -0.64659653185031241), 1)
((15.344817996874134, 0.51704626505728801), -1)
((11.644537982887906, 0.49396793371846193), -1)
((13.752898511406602, 0.76803163383677786), 1)
((19.243862164394372, -0.92809967348090061), 1)
((17.138430318422571, -0.39239639049625774), -1)
((17.823828075185403, -0.11334270685581394), -1)
((16.160613938611476, 0.54441903255144064), -1)
((14.243439703916451, 0.72171673081152043), 1)
((0.49394728724601711, -0.47594397141280265), 1)
((13.254018719315731, 0.95756943670582961), -1)
((17.684416102436089, 0.64668519761196608), -1)
((8.8322321649974498, -0.09109729319185611), 1)
((18.649532059529726, 0.24733323013667219), -1)
((1.0436632280681279, -0.2521501001074713), 1)
((11.664389239843725, 0.86732297881487663), -1)
((16.428288200233997, -0.15358839214361608), -1)
((2.1382085467537792, -0.50680711352825325), 1)
((10.818139201342889, -0.12736814980256428), -1)
((11.255868945207521, 0.66711418146243395), -1)
((8.2998543493818016, -0.13730142331252471), 1)
((16.347602957223614, -0.61805196879434399), 1)
((18.320815963491508, -0.64466928264091661), 1)
((13.164792547880657, -0.13380109607084556), 1)
((0.4572122629454789, -0.38345621696307575), 1)
((15.620961409110869, 0.45970561036366453), -1)
((18.163225598542038, -0.7529684013103275), 1)
((6.0100221084338257, 0.28991615155035189), -1)
((16.815402002750851, -0.19380648631387531), -1)
((6.97100180671743, -0.37910735915631522), 1)
((8.8541549430877957, 0.11569878910064912), 1)
((10.915144936112371, -0.51182807783035789), -1)
((13.244618552298217, 0.6038180093761738), 1)
((1.582858749571483, -0.0039123101698492757), 1)
((1.2705975471954711, -0.49375247128526722), 1)
((2.7510701789850112, -0.76463023088040183), 1)
((8.3629887122557598, 0.53435800228334052), 1)
((0.9192421784134841, -0.31942277867475077), 1)
((4.0463017601103912, 0.11392149645586547), -1)
((6.3720540497103739, -0.55465541087586034), 1)
((15.290088491708588, 0.67986120735910172), -1)
((1.5745431952965294, -0.73582714870824661), 1)
((17.959851292975642, 0.099503634520412776), -1)
((7.7307687650278183, 0.60567816327110124), 1)
((17.878056546463807, 0.10820081597007536), -1)
((12.246109090184902, -0.77100807235001345), 1)
((2.5213015873727818, 0.084873128476091519), 1)
((6.847971329921716, 0.82329735128559234), -1)
((8.1535084884322178, 0.43240560983320431), 1)
((19.237326622160804, 0.95388209408948965), -1)
((11.041491819881665, -0.12069818862895776), -1)
